date,index
2013/11/08,2307.945
2013/11/11,2315.889
2013/11/12,2340
2013/11/13,2288.116
2013/11/14,2304.501
2013/11/15,2350.734
2013/11/18,2428.903
2013/11/19,2412.163
2013/11/20,2424.85
2013/11/21,2409.989
2013/11/22,2397.962
2013/11/25,2388.629
2013/11/26,2387.416
2013/11/27,2414.481
2013/11/28,2439.53
2013/11/29,2438.944
2013/12/02,2418.788
2013/12/03,2442.784
2013/12/04,2475.135
2013/12/05,2468.197
2013/12/06,2452.287
2013/12/09,2450.872
2013/12/10,2453.322
2013/12/11,2412.763
2013/12/12,2410.015
2013/12/13,2406.639
2013/12/16,2367.923
2013/12/17,2356.376
2013/12/18,2357.226
2013/12/19,2332.41
2013/12/20,2278.136
2013/12/23,2284.602
2013/12/24,2288.248
2013/12/25,2305.11
2013/12/26,2265.334
2013/12/27,2303.478
2013/12/30,2299.458
2013/12/31,2330.026
2014/01/02,2321.978
2014/01/03,2290.779
2014/01/06,2238.637
2014/01/07,2238.001
2014/01/08,2241.911
2014/01/09,2222.221
2014/01/10,2204.851
2014/01/13,2193.679
2014/01/14,2212.846
2014/01/15,2208.941
2014/01/16,2211.844
2014/01/17,2178.488
2014/01/20,2165.993
2014/01/21,2187.41
2014/01/22,2243.796
2014/01/23,2231.889
2014/01/24,2245.678
2014/01/27,2215.919
